id_review,name,review,rate
112.0,Yusuf Setyawan,Tidak ada barang jd tidak bisa kasih ulasan,1
113.0,Bydawie Smith,Kurang bagus,2
114.0,Ferri Hendrawan,TDK TERPAKAI KARENA BUKAN NGISI TAPI MALAH BERKURANG TERSEDOT TDK BERGUNA,2
115.0,Kokom Komariah Muryadi,Pas ditest langsung pada rusak... hadeuhh,2
116.0,Hendra Setiawan,"Pengiriman cepat.
Tapi sayang beli 4 rusak 1",2
117.0,Muhammad agung Rifai,"Ga berfungsi , dipake malah ngurangi batre",2
118.0,Chemonk,Di cas nya lama penuh nya,2
119.0,Rattno Rahman Dani,Kwalitas sesuai dengan harga nge cas 3 jam cuma ngisi 5% setelah ganti batok samsung yang ori 3 jam penuh,2
120.0,ozan,Batok nya kotor,2
121.0,Debino,Hanya butuh 3 hari pemakaian barang langsung rusak,2
122.0,Chemonk,Di cas nya lama penuh nya,2
123.0,Rattno Rahman Dani,Kwalitas sesuai dengan harga nge cas 3 jam cuma ngisi 5% setelah ganti batok samsung yang ori 3 jam penuh,2
124.0,ozan,Batok nya kotor,2
125.0,Debino,Hanya butuh 3 hari pemakaian barang langsung rusak,2
126.0,agustiawan,"Belum dicoba takut meledak haha
harga murah
kualitas sesuai harga
fungsi belum tau
produk mirip aslinya",3
127.0,M***a,"Insya'allah Tidak REJEK Item Na Y Sist BISMILLAH,OK...",3
128.0,Ori Raya,baru coba 1 meledak.jd ga berani coba yg 1 lg,3
129.0,Oky,"order 5 pcs, 1 yg tdk fungsi",3
130.0,kuswarji wijayanto,"bayar 7 bgtu paket ku buka cuma ada 3 pcs., terpaksa komplain minta uang sebagian kembali., yg pasti kapok beli lagi.,
mohon kedepannya untuk masalah paking disempurnakan.,",3
131.0,Nick ochi,"Saya beli headset 2 buah, dikirim cuma 1",3
132.0,ubay service,"cukup bagus buat barang harga segitumah,bisa pake",3
133.0,Fashion Yogya,"harga kualitas produk sesuai, untuk fungsi : saya beli 2, yg 1 mati",3
134.0,Yohanes Subandi,Lama ngecas nya,3
135.0,erlan purwanto,Beli 2 yang bisa dipakai cuma 1 yg satunya lagi tidak fungsi.,3
136.0,Nick ochi,"Saya beli headset 2 buah, dikirim cuma 1",3
137.0,ubay service,"cukup bagus buat barang harga segitumah,bisa pake",3
138.0,Fashion Yogya,"harga kualitas produk sesuai, untuk fungsi : saya beli 2, yg 1 mati",3
139.0,Yohanes Subandi,Lama ngecas nya,3
140.0,erlan purwanto,Beli 2 yang bisa dipakai cuma 1 yg satunya lagi tidak fungsi.,3
141.0,jeffri adi tri cahyono,kualitas lumayan bagus harga murah.terima kasih,3
142.0,Meilany Sarah,"Pengiriman cpt tp sayang charger gak bisa...strum sih masuk tp kl di pke ngecars gk bertambh baterai,y.
Ya sesuai harga lah",3
143.0,Sugeng Septiadi,baru dipakai sebentar udh mati chargernya begitu terus cuma bs cas 1 menit hahahahahaha ok sih harga murah ,3
144.0,Aldo Lisa,"Barang nya meledak waktu di colokin ke colokan, yah nasib beli brg murah",3
145.0,Singgih Pranoto,Tidak kuat buat charge bypass mifi mf 90,3
146.0,jeffri adi tri cahyono,kualitas lumayan bagus harga murah.terima kasih,3
147.0,Meilany Sarah,"Pengiriman cpt tp sayang charger gak bisa...strum sih masuk tp kl di pke ngecars gk bertambh baterai,y.
Ya sesuai harga lah",3
148.0,Sugeng Septiadi,baru dipakai sebentar udh mati chargernya begitu terus cuma bs cas 1 menit hahahahahaha ok sih harga murah ,3
149.0,Aldo Lisa,"Barang nya meledak waktu di colokin ke colokan, yah nasib beli brg murah",3
150.0,Singgih Pranoto,Tidak kuat buat charge bypass mifi mf 90,3
151.0,Agus MS,Yg satu kurang bgus colokan usbny gk bisa msuk,3
152.0,Farid Ariyanto,Ada Harga Ada Kualitas,3
153.0,Dargo Susilo,Lumayan,3
154.0,irla lenggana,Batok charger tidak berfungsi,3
155.0,Novi Fajriyanti,"Untuk harga segini, kualitas good dan sesuai deskripsi, dapat berfungsi sebagai mana mestinya.. semoga awet dan bermanfaat.",3
156.0,Agus MS,Yg satu kurang bgus colokan usbny gk bisa msuk,3
157.0,Farid Ariyanto,Ada Harga Ada Kualitas,3
158.0,Dargo Susilo,Lumayan,3
159.0,irla lenggana,Batok charger tidak berfungsi,3
